model,budget,variant,success,n,success_rate,calls,avg_calls,action_invalid_final_rows
Qwen2.5-Coder-14B-AWQ/L4,2,generic+diagnostics,5,15,0.3333333333333333,27,1.8,9
Qwen2.5-Coder-14B-AWQ/L4,2,typed-fields,8,15,0.5333333333333333,28,1.8666666666666667,3
Qwen2.5-Coder-14B-AWQ/L4,4,generic+diagnostics,4,15,0.26666666666666666,49,3.2666666666666666,11
Qwen2.5-Coder-14B-AWQ/L4,4,typed-fields,11,15,0.7333333333333333,39,2.6,3
Qwen2.5-Coder-14B-AWQ/L4,6,generic+diagnostics,4,15,0.26666666666666666,71,4.733333333333333,11
Qwen2.5-Coder-14B-AWQ/L4,6,typed-fields,11,15,0.7333333333333333,47,3.1333333333333333,3
Qwen2.5-Coder-14B-AWQ/L4,8,generic+diagnostics,4,15,0.26666666666666666,93,6.2,11
Qwen2.5-Coder-14B-AWQ/L4,8,typed-fields,12,15,0.8,55,3.6666666666666665,3
Llama-3.1-8B-AWQ/T4,2,generic+diagnostics,1,15,0.06666666666666667,29,1.9333333333333333,14
Llama-3.1-8B-AWQ/T4,2,typed-fields,5,15,0.3333333333333333,28,1.8666666666666667,2
Llama-3.1-8B-AWQ/T4,4,generic+diagnostics,2,15,0.13333333333333333,56,3.7333333333333334,13
Llama-3.1-8B-AWQ/T4,4,typed-fields,9,15,0.6,45,3.0,3
Llama-3.1-8B-AWQ/T4,6,generic+diagnostics,2,15,0.13333333333333333,82,5.466666666666667,13
Llama-3.1-8B-AWQ/T4,6,typed-fields,11,15,0.7333333333333333,55,3.6666666666666665,1
Llama-3.1-8B-AWQ/T4,8,generic+diagnostics,2,15,0.13333333333333333,108,7.2,13
Llama-3.1-8B-AWQ/T4,8,typed-fields,11,15,0.7333333333333333,65,4.333333333333333,1
